"Date","Video Views","Profile Views","Likes","Comments","Shares"
"4 de septiembre","0","0","0","0","0"
"5 de septiembre","0","0","0","0","0"
"6 de septiembre","0","0","0","0","0"
"7 de septiembre","0","0","0","0","0"
"8 de septiembre","0","0","0","0","0"
"9 de septiembre","0","0","0","0","0"
"10 de septiembre","0","0","0","0","0"
"11 de septiembre","0","0","0","0","0"
"12 de septiembre","0","0","0","0","0"
"13 de septiembre","0","0","0","0","0"
"14 de septiembre","0","0","0","0","0"
"15 de septiembre","0","0","0","0","0"
"16 de septiembre","0","0","0","0","0"
"17 de septiembre","0","0","0","0","0"
"18 de septiembre","0","0","0","0","0"
"19 de septiembre","0","0","0","0","0"
"20 de septiembre","0","0","0","0","0"
"21 de septiembre","0","0","0","0","0"
"22 de septiembre","0","0","0","0","0"
"23 de septiembre","0","0","0","0","0"
"24 de septiembre","0","0","0","0","0"
"25 de septiembre","0","0","0","0","0"
"26 de septiembre","0","0","0","0","0"
"27 de septiembre","0","0","0","0","0"
"28 de septiembre","0","0","0","0","0"
"29 de septiembre","0","0","0","0","0"
"30 de septiembre","0","0","0","0","0"
"1 de octubre","0","0","0","0","0"
"2 de octubre","0","0","0","0","0"
"3 de octubre","0","0","0","0","0"
"4 de octubre","0","0","0","0","0"
"5 de octubre","0","0","0","0","0"
"6 de octubre","0","0","0","0","0"
"7 de octubre","0","0","0","0","0"
"8 de octubre","0","0","0","0","0"
"9 de octubre","0","0","0","0","0"
"10 de octubre","0","0","0","0","0"
"11 de octubre","0","0","0","0","0"
"12 de octubre","0","0","0","0","0"
"13 de octubre","0","0","0","0","0"
"14 de octubre","0","0","0","0","0"
"15 de octubre","0","0","0","0","0"
"16 de octubre","0","0","0","0","0"
"17 de octubre","0","0","0","0","0"
"18 de octubre","0","0","0","0","0"
"19 de octubre","0","0","0","0","0"
"20 de octubre","0","0","0","0","0"
"21 de octubre","0","0","0","0","0"
"22 de octubre","0","0","0","0","0"
"23 de octubre","0","0","0","0","0"
"24 de octubre","0","0","0","0","0"
"25 de octubre","0","0","0","0","0"
"26 de octubre","0","0","0","0","0"
"27 de octubre","0","0","0","0","0"
"28 de octubre","0","0","0","0","0"
"29 de octubre","0","0","0","0","0"
"30 de octubre","0","0","0","0","0"
"31 de octubre","0","0","0","0","0"
"1 de noviembre","0","0","0","0","0"
"2 de noviembre","0","0","0","0","0"
"3 de noviembre","0","0","0","0","0"
"4 de noviembre","0","0","0","0","0"
"5 de noviembre","0","0","0","0","0"
"6 de noviembre","0","0","0","0","0"
"7 de noviembre","0","0","0","0","0"
"8 de noviembre","0","0","0","0","0"
"9 de noviembre","0","0","0","0","0"
"10 de noviembre","0","0","0","0","0"
"11 de noviembre","0","0","0","0","0"
"12 de noviembre","0","0","0","0","0"
"13 de noviembre","0","0","0","0","0"
"14 de noviembre","0","0","0","0","0"
"15 de noviembre","0","0","0","0","0"
"16 de noviembre","0","0","0","0","0"
"17 de noviembre","0","0","0","0","0"
"18 de noviembre","0","0","0","0","0"
"19 de noviembre","0","0","0","0","0"
"20 de noviembre","0","0","0","0","0"
"21 de noviembre","0","0","0","0","0"
"22 de noviembre","0","0","0","0","0"
"23 de noviembre","0","0","0","0","0"
"24 de noviembre","0","0","0","0","0"
"25 de noviembre","0","0","0","0","0"
"26 de noviembre","0","0","0","0","0"
"27 de noviembre","0","0","0","0","0"
"28 de noviembre","0","0","0","0","0"
"29 de noviembre","0","0","0","0","0"
"30 de noviembre","0","0","0","0","0"
"1 de diciembre","0","0","0","0","0"
"2 de diciembre","0","0","0","0","0"
"3 de diciembre","0","0","0","0","0"
"4 de diciembre","0","0","0","0","0"
